name_a,type_a,name_b,type_b,similarity,tag,model,a_b_type
filled blue,text,filled yellow,text,0.8055069446563721,color-filled,base,text-text
filled blue,text,赤 の背景,text,0.7407429814338684,color-filled,base,text-text
filled blue,text,青 の背景,text,0.7377995252609253,color-filled,base,text-text
filled blue,text,黒 の背景,text,0.7247022390365601,color-filled,base,text-text
filled blue,text,白 の背景,text,0.7458168268203735,color-filled,base,text-text
filled blue,text,緑 の背景,text,0.7517072558403015,color-filled,base,text-text
filled blue,text,黄色 の背景,text,0.7403470873832703,color-filled,base,text-text
filled black,text,filled white,text,0.8686898946762085,color-filled,base,text-text
filled black,text,filled green,text,0.8343420028686523,color-filled,base,text-text
filled black,text,filled yellow,text,0.8244971632957458,color-filled,base,text-text
filled black,text,赤 の背景,text,0.7417361736297607,color-filled,base,text-text
filled black,text,青 の背景,text,0.7413564324378967,color-filled,base,text-text
filled black,text,黒 の背景,text,0.7526516318321228,color-filled,base,text-text
filled black,text,白 の背景,text,0.7470056414604187,color-filled,base,text-text
filled black,text,緑 の背景,text,0.7321463227272034,color-filled,base,text-text
filled black,text,黄色 の背景,text,0.7416614890098572,color-filled,base,text-text
filled white,text,filled green,text,0.8324195742607117,color-filled,base,text-text
filled white,text,filled yellow,text,0.8228419423103333,color-filled,base,text-text
filled white,text,赤 の背景,text,0.763004720211029,color-filled,base,text-text
filled white,text,青 の背景,text,0.7597846984863281,color-filled,base,text-text
filled white,text,黒 の背景,text,0.7420769929885864,color-filled,base,text-text
filled white,text,白 の背景,text,0.7680988907814026,color-filled,base,text-text
filled white,text,緑 の背景,text,0.7600972652435303,color-filled,base,text-text
filled white,text,黄色 の背景,text,0.7630271911621094,color-filled,base,text-text
filled green,text,filled yellow,text,0.8253645896911621,color-filled,base,text-text
filled green,text,赤 の背景,text,0.741866946220398,color-filled,base,text-text
filled green,text,青 の背景,text,0.7380493879318237,color-filled,base,text-text
filled green,text,黒 の背景,text,0.734052300453186,color-filled,base,text-text
filled green,text,白 の背景,text,0.7539833188056946,color-filled,base,text-text
filled green,text,緑 の背景,text,0.7721006274223328,color-filled,base,text-text
filled green,text,黄色 の背景,text,0.746120035648346,color-filled,base,text-text
filled yellow,text,赤 の背景,text,0.71427321434021,color-filled,base,text-text
filled yellow,text,青 の背景,text,0.7039794325828552,color-filled,base,text-text
filled yellow,text,黒 の背景,text,0.6892202496528625,color-filled,base,text-text
filled yellow,text,白 の背景,text,0.7180628776550293,color-filled,base,text-text
filled yellow,text,緑 の背景,text,0.7066925764083862,color-filled,base,text-text
filled yellow,text,黄色 の背景,text,0.7146758437156677,color-filled,base,text-text
赤 の背景,text,青 の背景,text,0.9760995507240295,color-filled,base,text-text
赤 の背景,text,黒 の背景,text,0.973721981048584,color-filled,base,text-text
赤 の背景,text,白 の背景,text,0.984061598777771,color-filled,base,text-text
赤 の背景,text,緑 の背景,text,0.9808869361877441,color-filled,base,text-text
赤 の背景,text,黄色 の背景,text,0.9876062870025635,color-filled,base,text-text
青 の背景,text,黒 の背景,text,0.9803564548492432,color-filled,base,text-text
青 の背景,text,白 の背景,text,0.9799322485923767,color-filled,base,text-text
